year;landings;surveysummer;ses;surveyfall;sef;mpdh;sem
1997;350755;0;0;0;0;0;0
1998;77701;0;0;0;0;0;0
1999;442110;0;0;0;0;0;0
2000;56441;370054;0.3;0;0;0;0
2001;14545;412103;0.3;0;0;0;0
2002;235359;1494267;0.3;0;0;0;0
2003;269955;250295;0.3;0;0;112323;0.3
2004;359681;1289818;0.3;0;0;0;0
2005;431902;931140;0.3;0;0;153150;0.3
2006;328805;785840;0.3;2062538;0.3;637223;0.3
2007;639364;897777;0.3;1500000;0.3;0;0
2008;411747;1040062;0.3;0;0;255016;0.3
2009;362871;184774;0.3;1874556;0.3;313432;0.3
2010;311530;17550;0.3;323000;0.3;73983;0.3
2011;167758;25797;0.3;250000;0.3;77613;0.3
2012;66681;100020;0.3;174000;0.3;109348;0.3
2013;60226;73551;0.3;83755;0.3;50772;0.3
2014;58785;82996;0.3;137374;0.3;17779;0.3
2015;57116;120727;0.3;0;0;17303;0.3
2016;74663;218422;0.3;501740;0.3;59886;0.3
2017;52286;84188;0.3;490994;0.3;28197;0.3
2018;68570;347160;0.3;745055;0.3;0;0
2019;138468;605670;0.3;786931;0.3;207744;0.3
2020;161392;569463;0.3;1005239;0.3;136588;0.3
2021;217464;516374;0.3;1338007;0.3;643089;0.3
2022;204926;1084161;0.3;1417886;0.3;65757;0.3
2023;186258;1017674;0.3;1427616;0.3;70829;0.3
